Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C24, C39, C4, C40, C41, C43, C44, C45, C46, C50, C53, C8",0402,15,1u,
"C11, C27, C6, C9",0603,4,4.7u,
"C13, L4",0402,2,2.2n,
C14,0402,1,0.7p,
"C15, C16, C17, C18, C19, C20, C21, C22, C23, C28, C29, C3, C30, C31, C32, C33, C36, C38, C42, C48, C51, C52, C7",0402,23,100n,
"C2, C47",0402,2,2.2u,
C26,0603,1,2.2u,
"C37, C49",0603,2,10u,
C54,0402,1,10n,
C55,0402,1,NC,
D1,0603,1,POWER,
D2,SOT-143,1,PRTR5V0U2X,
D3,0603,1,LED,
E1,ANTENNA_2450AT43B100E,1,2450AT43B100E,
"FB1, FB2",IND_1608_TDK,2,TDK MPZ1608S221ATA00,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,Screw_Terminal_01x03,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Screw_Terminal_01x02,
J4,CUI_MSD-4-A,1,MSD-4-A,
J5,CUI_SJ-43514,1,SJ-43514,
L1,0402,1,10uH,
"L2, L3",0402,2,10u,
"Q1, Q2",SOT-23,2,DMG2301L,
"R1, R2",0402,2,5.1K,
R10,0402,1,2k,
R11,0402,1,22k,
R12,0402,1,470,
"R13, R14, R3",0402,3,10K,
R15,0402,1,4.7k,
R4,0402,1,2R2,
R5,0402,1,100,
R6,0402,1,1k,
R7,0402,1,2.2k,
"R8, R9",0402,2,1M,
SW1,B3U-1000P,1,RESET,
U1,JST_PH_S9B-PH-K_1x09_P2.00mm_Horizontal,1,~,
U2,Nordic_AQFN-94-1EP_7x7mm_P0.4mm,1,nRF5340-QKxx,
U3,SOT-23-5,1,SPX3819M5-L-3-3,
U4,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,~,
U5,SOT-23-5,1,MCP73831-2-OT,
U6,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,TPA6132A2RTE,
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Seiko SC-20S,
Y2,NX2016SA_NDK,1,NX2016SA-CS06654,
