Designator,Mid X,Mid Y,Rotation,Layer
C1,139.4,-69.2,90.0,top
C10,149.44,-79.3,0.0,top
C11,157.625,-68.7,0.0,top
C12,151.35,-79.3,180.0,top
C13,155.05,-83.1,0.0,top
C14,154.5725,-85.78,270.0,top
C15,147.15,-91.73,270.0,top
C16,142.7,-81.9,180.0,top
C17,145.95,-91.75,270.0,top
C18,149.03,-91.3,0.0,top
C19,144.25,-91.3,180.0,top
C2,136.2,-72.35,90.0,top
C20,142.32,-89.2,180.0,top
C21,154.45,-87.75,0.0,top
C22,142.32,-88.1,180.0,top
C23,151.0,-91.75,270.0,top
C24,148.95,-80.72,90.0,top
C26,140.95,-82.3,90.0,top
C27,141.75,-79.9,180.0,top
C28,137.0,-67.9,180.0,top
C29,140.35,-69.2,90.0,top
C3,150.45,-81.25,0.0,top
C30,153.65,-82.65,90.0,top
C31,151.95,-80.7,90.0,top
C32,149.4,-78.35,180.0,top
C33,146.4,-80.85,90.0,top
C36,136.0,-81.8,0.0,top
C37,136.5,-83.025,0.0,top
C38,156.485,-90.135,0.0,top
C39,146.985,-98.825,270.0,top
C4,147.1,-79.45,0.0,top
C40,146.505,-100.225,180.0,top
C41,156.3,-98.95,270.0,top
C42,146.535,-97.425,180.0,top
C43,143.185,-100.425,180.0,top
C44,143.165,-101.725,180.0,top
C45,136.975,-100.85,90.0,top
C46,138.455,-98.25,180.0,top
C47,136.875,-103.25,270.0,top
C48,146.785,-102.525,270.0,top
C49,144.65,-102.95,180.0,top
C50,139.475,-104.35,270.0,top
C51,138.165,-104.35,270.0,top
C52,156.3,-97.0,90.0,top
C53,154.33,-96.35,180.0,top
C54,136.942893,-69.315,180.0,top
C6,153.775,-68.7,180.0,top
C7,137.1,-94.75,270.0,top
C8,134.3,-94.75,270.0,top
C9,144.9,-79.85,90.0,top
D1,159.4,-77.1875,90.0,top
D2,129.7,-68.35,90.0,top
D3,159.2,-72.7,90.0,top
E1,167.0,-97.3485,90.0,top
FB1,135.7,-93.45,270.0,top
FB2,144.7722,-98.8,180.0,top
J1,122.61,-68.35,270.0,top
J2,162.15,-78.6,270.0,top
J3,162.15,-70.7,270.0,top
J4,124.5,-82.85,270.0,top
J5,127.05,-98.1,0.0,top
L1,142.7,-82.85,0.0,top
L2,147.55,-80.875,90.0,top
L3,150.365,-80.25,180.0,top
L4,156.2125,-85.3,180.0,top
Q1,150.0375,-70.0,0.0,top
Q2,133.4,-69.15,180.0,top
R1,128.705,-71.56,270.0,top
R10,152.25,-72.9,270.0,top
R11,144.74,-104.2,180.0,top
R12,156.7,-74.4,180.0,top
R13,135.4,-75.21,90.0,top
R14,136.5,-75.21,90.0,top
R15,144.74,-106.1,180.0,top
R2,128.705,-65.26,90.0,top
R3,144.74,-105.15,180.0,top
R4,147.15,-72.55,180.0,top
R5,158.9,-75.1875,0.0,top
R6,144.74,-108.0,180.0,top
R7,144.74,-107.05,180.0,top
R8,142.05,-72.85,0.0,top
R9,144.1,-72.35,90.0,top
SW1,156.3,-93.05,270.0,bottom
U1,157.35,-108.25,180.0,top
U2,148.15,-86.3,0.0,top
U3,138.9,-71.8625,0.0,top
U4,151.4,-65.35,0.0,top
U5,155.7,-71.45,0.0,top
U6,139.725,-101.1,180.0,top
U7,151.8725,-100.425,270.0,top
Y1,142.45,-85.7,90.0,top
Y2,154.875,-80.05,0.0,top
